Unnamed: 0,location_name,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
0,Alabama,0.26996224898796944,0.14315812095331104,0.14180905873598226,0.2640081600602653,0.1796830228013246,0.15405352344591622,0.11544325511125846
1,Alaska,0.17426069715635972,0.09172325447295768,0.09574691418596692,0.15355397142388807,0.12014167982661834,0.13337258972998972,0.07844296446194414
2,Arizona,0.14648948735122996,0.07200221691272735,0.07655287692502681,0.12032802693925115,0.10036086741604276,0.12769544008342246,0.08204457418759352
3,Arkansas,0.2530110987445259,0.14571167988050054,0.14162596305662167,0.22713751726319084,0.18104944756496325,0.16298870313086547,0.1189685175209594
4,California,0.10678265137416564,0.043705367171198994,0.06978406656155745,0.08886994020259571,0.05000040624746599,0.10938606571186664,0.05044377617132255
5,Colorado,0.17800404386099686,0.0954044791859154,0.0958790101949079,0.15194297128158166,0.11941800737302265,0.1581242767436621,0.08713963368981589
6,Connecticut,0.1842945684415796,0.0913815931938932,0.08578898169956747,0.16743916724587524,0.12343544901680086,0.12691616611450707,0.07291632063350101
7,Delaware,0.13991060046506762,0.07078556380041699,0.07254490672919711,0.11470067504525558,0.0978217473723672,0.1242320036683004,0.07745834934744525
8,Florida,0.2275648872931597,0.13003543722280128,0.14094282182258405,0.20223813075407174,0.16508157422138972,0.15016392788881652,0.11584718992909873
9,Georgia,0.2217924564965736,0.12199097890820355,0.1297235597502597,0.20001736130820336,0.16269638330529598,0.14228259596614745,0.11079617305773616
10,Hawaii,0.176846963940145,0.08704728536649378,0.1011760430586515,0.16351240222074712,0.1154524703578836,0.11295225778226158,0.07050047814066382
11,Idaho,0.2822212858122907,0.1614104799113966,0.17856882883351927,0.26249994856536313,0.19538642356402205,0.18110104268994434,0.1342032281525139
12,Illinois,0.19627491835254088,0.10224501017751356,0.10428142776404324,0.17979611020237862,0.14096387058605436,0.12515175489686484,0.08210058065956759
13,Indiana,0.2716551444368204,0.14794568779528194,0.166474248666681,0.2507977539247587,0.1801788939179795,0.16748055638369266,0.11374529617897434
14,Iowa,0.20590248203340092,0.1099613647046559,0.1074009414261134,0.1838912960863361,0.1578326013900809,0.12269094093755055,0.09171468926406863
15,Kansas,0.2301437259751037,0.12821546801224076,0.14164737796670115,0.20753002602614104,0.16770163064170113,0.14070199143319484,0.10862406680197097
16,Kentucky,0.24960715464933736,0.14047811401100907,0.14205162106625882,0.2295213541269112,0.17925500503598382,0.16744750179918452,0.12078377938124372
17,Louisiana,0.19685065458281567,0.10467629491066258,0.12883987131966854,0.17266494679347846,0.13457622833612826,0.14995418963167698,0.10421403424337472
18,Maine,0.2145008195388109,0.1183677432889113,0.1047105846831654,0.1843490540143144,0.16744358549586705,0.11818882710695562,0.11209802959929427
19,Maryland,0.17685993425258256,0.08980142245175625,0.1016689474524792,0.1526169385932853,0.1249781701196281,0.13584216096022725,0.08066603965165291
20,Massachusetts,0.198043835544898,0.10319499040214283,0.110807330067245,0.17272665962377556,0.13671878809642862,0.13659574766836738,0.0969636123913266
21,Michigan,0.223117091279814,0.11605795375579715,0.1128525964064182,0.20910715317722567,0.1472722039423395,0.14712058743478254,0.08829245213260864
22,Minnesota,0.21141924056898692,0.11873896270921193,0.12174438989928348,0.182792438439304,0.156747823630092,0.15099186550409427,0.10295578768474896
23,Mississippi,0.19399720673353787,0.09588693311477504,0.11824018060961138,0.1738540662906954,0.11809941254233132,0.1454419808883436,0.0832002784722904
24,Missouri,0.2859021946534708,0.15861914436431684,0.17560789342451175,0.2657748317774405,0.19357951564761375,0.1535678444171366,0.14901803516442522
25,Montana,0.1842880018964014,0.10098675614841872,0.09755321901057802,0.158942519916685,0.13694133288527802,0.12774634697655396,0.10318173966979287
26,Nebraska,0.2259968158822247,0.12115869435682952,0.11680729133474,0.20792488746517654,0.15768973329902294,0.13999835316850318,0.10813310629178796
27,Nevada,0.22064979112028826,0.11777161419948495,0.11766510834169926,0.1988509087204943,0.14568203490319248,0.1530444855863544,0.09487052148764163
28,New Hampshire,0.21456190377627488,0.11315010145712802,0.12568789934079072,0.1940257999099897,0.1385157810643079,0.14300315968678454,0.10551812927034343
29,New Jersey,0.19069885812477175,0.10354297640477142,0.09477281998126907,0.16018257275228434,0.13846535213583774,0.15163849101279178,0.09722381871055838
30,New Mexico,0.19092849006718915,0.10235430086445407,0.12618513985139448,0.17085224494553494,0.12999156567945935,0.13902008265945967,0.08733069294021628
31,New York,0.2228677263577983,0.1169811779358818,0.11980254946126424,0.20748493217115188,0.14392279134658506,0.1579564685626911,0.08897047414444452
32,North Carolina,0.2069556364302565,0.1076365413527179,0.1235474623158974,0.18676541069989766,0.13914914715230767,0.15267823527794858,0.09276039997097453
33,North Dakota,0.18672006314308195,0.09731574528857433,0.0999613584219078,0.16684621298322866,0.12998202056540864,0.1345581629031447,0.08926789881331229
34,Ohio,0.23649174758103986,0.12652833536809374,0.14591710497798152,0.219420543025688,0.15125523025331308,0.15337622142762486,0.10030920824383276
35,Oklahoma,0.25759531538907865,0.14179681370523325,0.17252165942775888,0.2272559737627987,0.16957341741365184,0.17394655495335612,0.12327180586086454
36,Oregon,0.1697112507764756,0.08391592398385253,0.09081135073013934,0.1505415651164958,0.11189773936096327,0.1227954370813524,0.08198558847315557
37,Pennsylvania,0.2472980776763485,0.1392871848656638,0.13178240293402502,0.22749092686151454,0.18025873942583,0.16401513308765542,0.1052846145968879
38,Rhode Island,0.1909891415840932,0.1029784973120566,0.10482715349004057,0.16485539484984782,0.13291166551451875,0.1502260602973657,0.0979401097633231
39,South Carolina,0.22305163295276395,0.12260432544221095,0.12371237835487435,0.20336351680371886,0.14825062597236172,0.16789512755899494,0.11572059954733675
40,South Dakota,0.27827365406057725,0.1618279768309828,0.1568938780102564,0.2593065595559831,0.1999348444006408,0.16156756419497872,0.11866320444177353
41,Tennessee,0.26235533144157297,0.1448378650041574,0.1886260112406744,0.2406764322466293,0.17284471169696616,0.1705582438005621,0.10967021541528088
42,Texas,0.2401559937831719,0.1390011232562352,0.15298378799288034,0.2078854875840344,0.16916803434034525,0.16087473682233006,0.12646160584476812
43,Utah,0.26416478881912103,0.14102664685409014,0.205292878477986,0.24329453948174856,0.1721966831970349,0.14654529781595094,0.13078609297546007
44,Vermont,0.16288187768553106,0.08154979503435877,0.08709987010482946,0.14236620184434873,0.10842957446790592,0.12282795058717445,0.08484574202174335
45,Virginia,0.20585259517362128,0.10921738421339501,0.12576392701939307,0.18331216624652255,0.13397841333406402,0.1529859944123458,0.09874050936440326
46,Washington,0.1925885475335927,0.0972055506394884,0.1011929635605116,0.16840959404538353,0.11175022059321486,0.18820127653948832,0.07588109327018902
47,District of Columbia,0.19345432399076928,0.10136799050769237,0.10531947113579483,0.1725266962342563,0.13193366331651288,0.14336525931282065,0.09339723796635906
48,West Virginia,0.18061730192908168,0.09655209531142857,0.10116327622908174,0.16147395458561226,0.12889181996469384,0.13312053908877555,0.09539137982091833
49,Wisconsin,0.23218768281879806,0.12872990718153002,0.14844335853502727,0.20350652210338785,0.1709384389980331,0.14425636332021846,0.13182138682568315
50,Wyoming,0.21015351041573024,0.11546231092819202,0.1138982041243107,0.18911480431644526,0.1536690770635344,0.13940907167568944,0.09935051383033723
